基金代码,基金名称,一级分类,二级分类,3月评分,6月评分,1年评分,2年评分,3年评分,5年评分,7年评分,10年评分
000628,大成高鑫股票A,股票型,股票型,98.1339,97.5667,96.3572,94.3598,92.7915,90.8332,86.83273545860341,79.14626481503652
001564,东方红京东大数据混合A,混合型,混合型-灵活,95.7021,96.068,96.3479,94.8695,92.2712,89.5514,86.18177173299584,79.2773180294505
169102,东方红睿阳三年持有混合,混合型,混合型-偏股,96.0374,96.4519,96.331,95.01,92.1747,89.5463,84.75162901267295,76.26148539446905
001074,华泰柏瑞沪深300指数增强A,指数型,指数型-股票,94.4286,95.6513,96.3179,93.5807,91.7794,88.3538,83.2601845359238,75.65159972464983
519732,交银定期支付双息平衡混合,混合型,混合型-平衡,97.6027,96.4197,96.3172,95.5228,92.573,90.7217,85.27368268030305,78.85666078055787
161725,招商中证白酒指数(LOF)A,指数型,指数型-股票,98.3584,94.5252,96.291,94.0147,93.0253,89.2292,86.01593097432917,75.35473781874775
519736,交银新成长混合,混合型,混合型-偏股,97.04,97.248,96.2499,94.3101,92.9773,91.5102,86.59207128320021,76.10409433736382
001471,融通新能源灵活配置混合A,混合型,混合型-灵活,96.0239,97.028,96.2315,93.8525,91.6271,89.799,86.4307733748354,78.4677660720699
020023,国泰事件驱动策略混合A,混合型,混合型-偏股,97.902,97.7703,96.2053,94.8594,92.6264,91.0107,87.31358280173076,78.92475008978809
002142,博时外延增长混合A,混合型,混合型-灵活,96.8739,95.9797,96.1956,93.8546,91.6506,89.6866,84.64366951138172,77.07313240751826
161217,国投瑞银中证资源指数(LOF)A,指数型,指数型-股票,94.719,94.5768,96.1904,92.9382,90.8974,89.0013,85.8727510218741,80.68029450496827
000978,景顺长城量化精选股票A,股票型,股票型,97.3542,97.1492,96.1806,92.9509,90.7703,87.5886,83.15062167570248,75.83394439123668
000248,汇添富中证主要消费ETF联接A,指数型,指数型-股票,96.4399,95.0691,96.1616,95.3793,94.2773,91.1147,86.85502214773135,74.89131898719023
